Probe[213113]	R["R_EGMESTr"]
Probe[164561]	R["R_SRTNACT"]
Probe[149389]	R["R_ABTArm"]	R["R_APAT2rm"]	R["R_3AIBTm"]
Probe[106732]	R["R_CHSTEROLt"]	R["R_CHSTEROLtg"]
Probe[203610]	R["R_PTRCOX1"]	R["R_MHISOR"]	R["R_TRYPTAOX"]	R["R_HISTASE"]	R["R_PEAMNO"]	R["R_42A12BOOX"]	R["R_MAOX"]	R["R_13DAMPPOX"]	R["R_NMPTRCOX"]
Probe[161757]	R["R_ABO1g"]	R["R_ABO9g"]	R["R_ABO5g"]	R["R_ABO4g"]	R["R_ABO7g"]	R["R_ABO3g"]	R["R_ABO2g"]	R["R_ABO8g"]	R["R_ABO6g"]
Probe[126099]	R["R_ACACT4p"]	R["R_FAOXC2452256x"]	R["R_FAOXC183806x"]	R["R_FAOXC2051843x"]	R["R_FAOXC2242046x"]	R["R_PEROXx"]	R["R_ACACT5p"]	R["R_ACACT7p"]	R["R_FAOXC2252053x"]	R["R_ACACT8p"]	R["R_FAOXC2442246x"]	R["R_FAOXC241181x"]	R["R_ACACT9p"]	R["R_FAOXC16080x"]	R["R_FAOXC200180x"]	R["R_FAOXC260240x"]	R["R_FAOXC18480x"]	R["R_FAOXC240200x"]	R["R_FAOXC226205x"]	R["R_ACACT6p"]	R["R_FAOXC246226x"]	R["R_FAOXC2251836x"]	R["R_FAOXC2452253x"]	R["R_FAOXC180x"]
Probe[198813]	R["R_ACCOAC"]
Probe[196485]	R["R_ACCOAC"]	R["R_ACCOACm"]
Probe[204665]	R["R_FAOXC140"]	R["R_FAOXC180"]	R["R_FAOXC150m"]	R["R_FAOXC170m"]	R["R_FAOXC2252053m"]	R["R_FAOXC204"]	R["R_ACOAD9m"]	R["R_ACOAD10m"]	R["R_FAOXC1811602m"]	R["R_FAOXC16080m"]	R["R_FAOXC1811603m"]	R["R_FAOXC16180m"]	R["R_FAOXC204184m"]	R["R_FAOXC11"]	R["R_FAOXC80"]	R["R_FAOXC182806m"]	R["R_FAOXC1811601m"]	R["R_FAOXC160"]	R["R_FAOXC18280m"]	R["R_FAOXC200180m"]	R["R_FAOXC161802m"]	R["R_FAOXC2051843m"]	R["R_FAOXC18480m"]	R["R_FAOXC226205m"]	R["R_PPCOAOm"]	R["R_FAOXC2031836m"]	R["R_FAOXC2242046m"]	R["R_ACOAD1fm"]	R["R_FAOXC183803m"]	R["R_FAOXC226"]	R["R_FAOXC183806m"]	R["R_FAOXC2251836m"]
Probe[129764]	R["R_FAOXC140"]	R["R_FAOXC180"]	R["R_FAOXC150m"]	R["R_FAOXC2252053m"]	R["R_FAOXC204"]	R["R_FAOXC1811602m"]	R["R_FAOXC16080m"]	R["R_FAOXC1811603m"]	R["R_FAOXC16180m"]	R["R_FAOXC204184m"]	R["R_FAOXC80"]	R["R_FAOXC182806m"]	R["R_FAOXC1811601m"]	R["R_FAOXC160"]	R["R_FAOXC18280m"]	R["R_FAOXC200180m"]	R["R_FAOXC161802m"]	R["R_FAOXC2051843m"]	R["R_FAOXC18480m"]	R["R_FAOXC226205m"]	R["R_PPCOAOm"]	R["R_FAOXC2031836m"]	R["R_FAOXC2242046m"]	R["R_ACOAD1fm"]	R["R_FAOXC183803m"]	R["R_FAOXC226"]	R["R_FAOXC183806m"]	R["R_FAOXC2251836m"]
Probe[231862]	R["R_ACOAD10m"]	R["R_PPCOAOm"]	R["R_ACOAD1fm"]
