Probe_ID	Gene_ID	Assay_Normalized_Signal_HB00E8F_5/25/07_12:10_PM	CV_HB00E8F_5/25/07_12:10_PM	Flags_HB00E8F_5/25/07_12:10_PM
143671	hCG38239.3	2.38	0.25	0
143688	hCG23835.3	0.54	0.23	0
143690	hCG29916.2	1.63	0.53	0
143712	hCG2039849	0.74	0.51	0
143717	hCG17519.4	0.49	0.38	0
143719	hCG1785772.1	3.79	0.08	0
143723	hCG1806964.2	5.22	0.14	0
143725	hCG18251.2	2.27	0.09	0
143730	hCG1811975.2	0.28	2.29	1
143731	hCG41879.3	0.44	2.47	1
143732	hCG21936.2	1.79	0.1	0
143734	hCG1814189.1	0.99	104.5	1
143739	hCG18603.3	0.61	5.03	1
143740	hCG22349.2	1.66	0.28	0
143741	hCG2039263	0.5	2.6	1
143742	hCG23378.2	359.45	0.03	0
143747	hCG1736626.2	1.23	0.44	0
143748	hCG41406.2	0.25	4.11	1
143761	hCG2040300	34.55	0.05	0
143766	hCG2043318	228.41	0.02	0
143768	hCG40309.3	4.99	0.09	0
143773	hCG27198.3	3.32	0.19	0
143783	hCG1821271.2	0.68	0.29	0
143788	hCG27501.2	1.14	0.89	0
143791	hCG29363.4	0.99	0.15	0
143792	hCG25995.2	0.5	0.78	0
143799	hCG2008872	0.41	2.5	65
143812	hCG2040026.1	1.06	0.19	0
143814	hCG2041619	252.91	0.03	0
143817	hCG24313.3	0.43	1.26	1
143822	hCG1686194.2	0.45	1.9	1
143827	hCG1997008	0.23	1.73	1
143828	hCG2033121.1	4.52	0.06	0
143831	hCG29852.3	0.76	0.94	0
143852	hCG38527.4	202	0.04	0
143854	hCG28108.2	60.12	0.04	0
143857	hCG23965.3	2.16	0.2	0
143859	hCG57025.3	0.47	4.71	1
143862	hCG14673.4	2.22	0.19	0
143863	hCG1641774.2	10.87	0.04	0
143873	hCG2030596	214.55	0.04	0
143874	hCG2039981	2.85	0.09	0
143887	hCG2021113	1.36	0.2	0
143892	hCG1990544	0.49	33.69	1
143895	hCG1811930.2	5.72	0.08	0
143899	hCG23121.5	5.77	0.09	0
143904	hCG1814533.1	0.9	1.21	1
143906	hCG2042916	0.81	0.41	0
143907	hCG2040922	0.12	0.49	1
143908	hCG1643415.2	375.74	0.03	0
143920	hCG37269.3	0.73	0.98	1
143928	hCG2041000	0.67	1.65	1
143933	hCG18897.3	1.11	0.17	0
143936	hCG14998.3	1.2	2.02	1
143938	hCG31802.3	0.62	0.65	0
143945	hCG2025294.1	47.17	0.04	0
143946	hCG1999370	0.7	0.17	0
143948	hCG2043387	0.31	9.76	1
143954	hCG14702.4	12.69	0.05	0
143956	hCG30513.3	1.9	0.54	0
143959	hCG40059.3	2.03	0.23	0
143961	hCG1642880.4	0.44	1.04	1
143962	hCG1745487.2	0.93	0.13	0
143967	hCG1645338.1	696.59	0.03	0
143968	hCG1646789.3	0.41	0.35	0
143978	hCG1987160.1	0.69	0.2	0
143980	hCG15913.2	25.21	0.04	0
143982	hCG2040645	1.45	0.21	0
143984	hCG30705.2	12.33	0.03	0
143989	hCG39163.4	61.32	0.03	0
143991	hCG23565.3	2.25	0.17	0
143992	hCG1743102.2	3.26	0.19	0
143996	hCG1640186.3	0.4	0.61	0
143997	hCG1811965.1	1.08	0.21	0
143998	NM_003012.2	2.81	0.26	0
144001	hCG1811614.1	5.17	0.18	0
144005	hCG37296.2	1.26	0.34	0
144014	hCG40790.3	25.45	0.04	0
144015	hCG2019627.1	0.68	0.19	0
144020	hCG41307.3	15.7	0.05	0
144023	hCG1651443.3	0.6	0.9	1
144028	hCG1759132.2	6.22	0.08	0
144030	hCG2040727	0.8	0.2	0
144032	hCG23889.4	0.5	0.43	0
144034	hCG37164.4	79.57	0.04	0
144040	hCG31397.3	0.19	1.34	1
144041	hCG2029577.1	0.45	14.53	1
144049	hCG21188.3	31.18	0.04	0
144058	hCG20416.3	141.48	0.04	0
144077	hCG1642704.2	1.5	0.2	0
144084	NM_014812.1	29.82	0.05	0
144090	hCG1980844	2.57	0.23	0
144095	R26_hCT1640239.2	1.14	0.59	0
144108	hCG1811134.1	0.22	0.94	0
144110	hCG1818515.1	0.27	1	1
144113	hCG20725.3	10.27	0.06	0
144116	hCG1998496	0.65	3.21	1
144117	hCG2000564	18.73	0.05	0
144128	hCG1775235.1	78.16	0.02	0
144133	R26_hCT1971383	2.3	0.2	0
144134	hCG1818080.1	0.32	1.26	1
144135	hCG38536.2	0.26	0.62	0
144138	hCG22049.2	0.15	2.9	1
144140	hCG1783679.2	852.67	0.02	0
144148	hCG2042239	6.47	0.13	0
144156	hCG2041755	0.19	0.52	1
144159	hCG16091.4	53.83	0.05	0
144160	hCG23746.2	0.61	0.55	0
144163	hCG22909.2	0.63	0.95	0
144166	hCG1787724.1	85.85	0.03	0
144168	hCG17158.3	12.29	0.08	0
144171	hCG1771395.2	1.78	1.01	1
144172	hCG1781951.2	0.39	0.63	1
144175	hCG1796489.1	0.21	3.87	1
144177	hCG2039410	1.17	0.28	0
144182	hCG22365.4	53.79	0.03	0
144197	hCG23145.3	5.03	0.12	0
144207	hCG21793.3	0.28	3.17	1
144212	hCG401257.3	33.07	0.11	0
144215	hCG39202.2	10.5	0.03	0
144218	hCG38369.2	2.95	0.13	0
144221	hCG1992163	25.55	0.07	0
144226	hCG1641571.3	0.59	0.48	0
144229	hCG1646631.2	64.03	0.03	0
144230	hCG22716.3	0.19	0.62	0
144235	hCG23386.2	3.15	0.06	0
144241	hCG42715.2	0.61	1.96	1
144244	hCG41819.3	58.54	0.03	0
144248	hCG25155.3	0.28	1.17	1
144256	hCG16691.5	101.67	0.02	0
144258	hCG21386.3	1.32	0.57	0
144261	hCG1776669.1	0.83	0.28	0
144262	hCG1731690.2	0.47	60.39	1
144265	hCG1743060.2	1.68	0.19	0
144266	hCG21802.3	5.49	0.1	0
144268	hCG1990826	0.28	1.06	1
144271	hCG1816694.1	7.16	0.34	0
144273	hCG18638.4	1.63	6.3	1
144280	hCG23506.3	5.46	1.39	1
144291	hCG1642500.2	0.53	6.9	1
144301	hCG1991311	1.73	0.14	0
144302	hCG1991311	6.12	0.41	0
144309	hCG24000.3	156.1	0.02	0
144317	hCG20635.3	0.61	1.96	1
144327	hCG33333.3	1.45	0.28	0
144329	hCG28666.2	0.49	0.79	0
144333	hCG15066.1	0.38	8.54	1
144335	hCG40586.2	29.43	0.04	0
144345	hCG38101.3	0.7	1.62	1
144351	hCG1642759.3	87.9	0.05	0
144359	hCG2040377	2.74	0.09	0
144362	hCG1645173.3	0.75	0.3	0
144368	hCG1798591.2	0.82	0.34	0
144369	hCG2019175	0.78	1.32	1
144371	hCG2005483.2	0.4	1.07	1
144373	hCG38937.2	0.22	1.04	1
144376	hCG1743842.2	2.48	0.43	0
144379	hCG24070.4	6.82	0.04	0
144383	hCG2031821	713.75	0.03	0
144385	hCG40687.2	0.9	0.28	0
144389	hCG38041.4	1.07	0.79	0
144390	hCG1777349.2	0.48	1.99	1
144392	hCG23666.4	0.24	1.87	1
144399	hCG2039981	12.39	0.03	0
144404	hCG39766.2	3.5	5.23	1
144405	hCG1811534.1	0.34	0.55	1
144407	hCG1641789.3	0.44	0.32	0
144408	hCG23368.3	3.1	0.62	0
144417	hCG2041191	0.5	0.9	0
144419	hCG1643260.2	1.34	0.15	0
144428	hCG1791329.1	0.73	1.34	1
144432	hCG1640142.2	0.33	0.47	0
144437	hCG1807918.2	13.59	0.04	0
144438	hCG23417.3	57.8	0.02	0
144446	hCG2043022	99.54	0.03	0
144450	hCG1750329.1	0.95	0.56	0
144451	hCG39535.3	0.19	0.62	0
144452	hCG1641496.4	0.58	0.24	0
144454	hCG1787287.2	2.4	0.1	0
144474	hCG1799803.1	4.4	0.13	0
144477	hCG28806.3	102.15	0.04	0
144479	hCG2010985	3.7	0.16	0
144487	hCG20722.5	835.73	0.04	0
144495	hCG24102.2	0.63	2.72	1
144497	hCG23541.3	9.52	0.08	0
144499	hCG1992337	0.54	0.32	0
144503	hCG42711.3	0.37	0.87	1
144514	hCG1811507.2	2.93	0.18	64
144524	hCG2040164	586.19	0.02	0
144527	hCG2042829	0.6	1.24	1
144528	hCG2036650.1	0.71	2.15	1
144531	hCG1781302.1	1.91	0.12	0
144537	hCG38960.3	0.58	2.45	1
144542	hCG40998.3	3.64	0.06	0
144547	hCG20200.3	0.7	1.06	1
144551	hCG2043248	0.59	0.68	0
144557	hCG17281.3	1.89	0.19	0
144559	hCG1779233.1	8.29	0.04	0
144561	hCG24832.3	77.36	0.04	0
144565	hCG1641245.2	1.24	0.17	0
144569	hCG2025559	7.92	0.07	0
144571	hCG1745281.2	17.81	0.06	0
144577	hCG2033574	0.48	0.83	0
144581	hCG23415.3	7.37	0.04	0
144588	hCG26628.2	0.47	0.69	0
144595	hCG26984.3	16.01	0.06	0
144600	hCG19196.4	0.92	0.35	0
144601	hCG2040048.1	0.57	17.84	1
144606	hCG2040362	639.43	0.02	0
144614	hCG23579.3	1.32	0.32	0
144618	hCG39593.3	4.15	0.33	0
144620	hCG1741860.2	0.28	0.54	1
144621	hCG1820508.1	3.76	0.47	0
144625	hCG1814926.1	0.23	0.57	1
144632	hCG1985539.1	6.13	1.58	1
144634	hCG19008.3	0.68	0.76	0
144645	hCG1811237.2	11	0.14	0
144646	hCG1998957	2.61	0.16	0
144657	hCG2040151	1.74	0.23	0
144660	hCG1993430	0.77	0.5	0
144661	hCG20514.3	5.16	1.17	1
144668	hCG2040155	1.41	2.6	1
144669	hCG23891.4	10.09	0.04	0
144670	hCG1647609.3	0.52	0.78	0
144684	hCG39654.3	0.5	0.38	0
144688	hCG1980778	0.23	2.75	1
144694	hCG29240.2	0.41	1.19	1
144696	hCG41294.2	0.76	25.04	1
144701	hCG2041284.1	96.73	0.04	0
144707	hCG1991360.1	0.66	0.75	0
144711	hCG29617.3	45.45	0.02	0
144715	hCG16313.3	31.82	0.05	0
144716	hCG30815.2	0.45	1.24	1
144726	hCG36750.3	0.41	0.53	0
144730	hCG32502.3	10.15	0.07	0
144733	hCG23215.2	0.45	0.37	0
144734	hCG41424.3	1.31	0.65	0
144742	hCG2009178	8.22	0.15	0
144755	hCG2041397	0.79	0.3	0
144765	hCG15033.3	16.35	0.03	0
144771	hCG2025360	1.65	0.13	0
144774	hCG38224.2	0.63	0.25	0
144779	hCG1745555.3	1.36	1.58	1
144783	hCG31757.4	0.85	2.74	1
144788	hCG1817947.1	1.21	1.1	1
144791	hCG2036839	2.6	0.11	0
144795	hCG2041374	0.96	0.28	64
144802	hCG2005477.1	11.2	0.04	0
144803	hCG1801336.2	0.91	4.01	1
144812	hCG20079.3	5.33	0.04	0
144826	hCG2010338	32.43	0.06	0
144829	hCG2023558.1	1.48	0.27	0
144833	hCG1738065.2	12.07	0.04	0
144834	NM_021059.2	0.48	12.73	1
144836	hCG2041506	1.1	0.52	0
144837	hCG18399.4	0.65	2.27	1
144842	hCG1642143.3	16.28	0.07	0
144845	hCG1657560.3	1.19	0.25	0
144848	hCG1811890.1	0.66	5.57	1
144866	hCG23298.3	1.12	0.12	0
144872	hCG1725347.2	47.57	0.03	0
144873	hCG2000745	0.54	3.53	1
144878	hCG37540.4	5.2	0.13	0
144879	hCG36968.3	2.44	0.08	0
144881	hCG1811670.2	5.18	0.09	0
144882	hCG2040170	0.43	0.34	0
144894	hCG23283.2	0.23	0.67	1
144895	hCG2041135	0.39	0.46	0
144901	hCG1658584.2	0.54	0.64	0
144903	hCG1790536.3	0.4	7.32	1
144908	hCG41540.3	4.03	0.23	0
144919	hCG1777277.3	3.24	0.21	0
144924	hCG1781966.3	0.47	9.72	1
144932	hCG1811257.3	0.7	0.41	0
144935	hCG1818188.1	2.42	0.9	0
144937	hCG1657203.2	1.59	0.15	0
144941	hCG39030.3	0.32	0.67	0
144955	hCG1988228	375.03	0.02	0
144959	hCG32982.2	5.4	0.09	0
144972	hCG1641141.2	0.64	1.6	1
144979	hCG40002.4	6.97	0.16	0
144980	hCG16556.2	11.02	0.03	0
144981	hCG1811212.1	4.2	0.14	0
144984	hCG2033693	273.6	0.03	0
144985	hCG23586.2	0.75	3.21	1
144990	R26_hCT1831094.1	12.52	0.05	0
144993	hCG42013.3	68.29	0.04	0
144994	hCG37546.3	0.43	0.53	0
144996	hCG1996342	0.5	1.56	1
144998	hCG1996416	98.36	0.04	0
145007	hCG40227.3	4.68	0.11	0
145013	hCG21025.4	0.61	1.91	1
145018	hCG1783839.2	0.5	0.68	1
145023	BC071855.1	6.03	0.07	0
145025	hCG1640319.2	0.59	0.37	0
145027	hCG1990121	274.68	0.04	0
145029	hCG1821188.1	0.23	6.92	1
145037	hCG38057.2	7.95	0.15	0
145038	hCG1817852.1	0.46	0.71	0
145041	hCG1774285.4	0.53	8.92	1
145042	hCG1818442.1	1.88	1.3	1
145045	hCG38337.2	3.5	0.06	0
145049	hCG41326.3	24.5	0.06	0
145053	hCG16778.3	0.21	0.4	1
145056	hCG2043115	0.64	1.73	1
145057	hCG1780996.1	0.31	0.45	1
145059	hCG1983638.1	0.44	1.55	1
145063	hCG1818484.1	0.73	6.26	1
145066	hCG30834.4	0.52	2.01	1
145069	hCG2032291	63.78	0.05	0
145077	hCG2040614	0.88	9.85	1
145078	hCG1738449.2	0.71	0.57	0
145091	hCG1783771.2	0.5	0.52	0
145093	hCG15982.3	190.37	0.03	0
145100	hCG1788604.3	0.4	1.11	1
145101	hCG1811419.1	0.37	2.61	1
145107	hCG1647431.3	0.45	4.07	1
145117	hCG2042115	37.79	0.04	0
145130	hCG1644619.3	4.79	0.13	0
145132	hCG38556.2	484.13	0.03	0
145146	hCG28361.3	1.13	0.51	0
145149	hCG1804625.3	0.39	2.03	1
145150	hCG28080.2	11.71	0.03	0
145154	hCG1640214.4	15.62	0.02	0
145155	hCG23224.2	29.01	0.04	0
145157	hCG20302.3	0.3	51.89	1
145160	hCG2032388	17.39	0.05	0
145163	hCG15071.3	2.62	0.07	0
145164	hCG30704.3	40.53	0.04	0
145167	hCG1640609.1	1.73	0.79	0
145171	hCG1985268	5.73	0.09	0
145190	hCG19886.4	85.25	0.05	0
145191	hCG2018447.1	21.26	0.04	0
145197	hCG2014011.1	0.64	1.74	1
145203	hCG2010191	65.71	0.02	0
145205	hCG1813087.1	1.12	0.35	0
145214	hCG2040002	0.13	1.11	1
145220	hCG15522.4	27.5	0.06	0
145224	hCG2041137	0.48	1.03	1
145225	hCG2028338	0.67	0.24	0
145228	hCG21939.2	13.57	0.05	0
145230	hCG43695.3	15.97	0.02	0
145236	hCG21699.3	0.68	1.44	1
145241	hCG29991.2	0.45	4.16	1
145258	hCG1641301.3	0.6	0.54	0
145259	hCG2041255	0.53	0.47	0
145263	hCG37642.3	3.9	0.11	0
145266	hCG41614.2	2.44	0.2	0
145269	hCG29051.3	1.32	2.68	1
145275	hCG36995.3	2.23	0.25	0
145280	hCG2036805	0.33	0.67	0
145286	R26_hCT1786651.1	46.8	0.02	0
145287	hCG32716.3	0.51	6.67	1
145293	hCG19195.4	844.04	0.03	0
145294	hCG27369.4	1.82	1.35	1
145309	hCG2031636	0.37	0.89	0
145312	hCG1994643	4.15	0.14	0
145319	hCG16528.3	2.35	0.15	0
145324	hCG1747863.2	8.99	0.07	0
145326	hCG1737063.3	0.97	0.18	0
145330	hCG1657295.4	2.98	0.06	0
145333	hCG1814591.1	63.49	0.02	0
145338	hCG16088.3	1.25	3.18	1
145340	hCG23342.3	0.54	47.09	1
145347	hCG1782268.1	0.5	1.15	1
145349	hCG40728.3	0.18	2.01	1
145353	hCG41128.2	46.31	0.07	0
145357	hCG1783141.2	37.92	0.03	0
145359	hCG21545.4	2.34	0.1	0
145360	hCG401231.4	0.43	3.13	1
145366	hCG2041261	1.39	0.13	0
145370	hCG2039732.1	1	6.18	1
145376	hCG20282.3	187.64	0.03	0
145377	hCG1782511.3	1.01	0.13	0
145379	hCG2042983	1.52	0.81	0
145387	hCG1784199.1	7.9	0.07	0
145388	hCG1812047.1	1.44	0.52	0
145390	hCG2039412	0.42	9.8	1
145396	hCG2042131	1.15	0.21	0
145412	hCG24463.3	21.82	0.05	0
145415	hCG23465.3	0.57	1.54	1
145429	hCG27871.3	138.74	0.02	0
145438	hCG21061.3	4.65	0.14	0
145447	hCG20448.2	0.48	1.08	1
145456	hCG2038918	0.24	1.11	1
145458	hCG39376.3	0.29	1.22	1
145459	hCG1641819.3	0.7	17.99	1
145481	hCG27770.2	1.73	0.28	0
145483	hCG27514.2	0.39	1.47	1
145487	hCG40975.2	2.51	0.18	0
145493	hCG1991909	2.64	0.08	0
145498	hCG1743404.1	18	0.05	0
145499	hCG16413.2	0.11	2.53	1
145500	hCG23143.3	0.26	2.34	1
145509	hCG1818175.2	0.18	4.03	1
145520	hCG22519.4	0.53	0.47	0
145522	hCG1646803.3	1.73	0.22	0
145525	hCG1786969.1	0.7	1.36	1
145548	hCG27709.4	32.15	0.05	0
145550	hCG16921.3	335.21	0.03	0
145553	hCG401073.3	3.98	0.31	0
145554	hCG2040046	0.41	2.42	1
145556	hCG2001583.1	0.83	0.63	0
145559	hCG2003063.1	7.24	0.06	0
145563	hCG38697.3	26.19	0.03	0
145581	hCG40494.2	14.36	0.03	0
145583	hCG40440.3	2.9	0.05	0
145587	hCG16476.4	61.47	0.03	0
145588	hCG1789478.2	291.05	0.02	0
145596	hCG1749461.1	1.24	0.47	0
145597	hCG1811524.1	8.08	0.11	0
145606	hCG2015927.1	7.67	0.09	0
145608	hCG2036546	0.28	1.75	1
145611	hCG1643237.3	0.45	16.96	1
145618	hCG1642422.1	742.36	0.03	0
145623	hCG1811044.1	1.98	0.8	1
145624	hCG2007134	0.88	0.19	0
145632	hCG31942.2	43.93	0.03	0
145645	hCG2039154	0.7	0.44	0
145646	hCG2023389.1	0.63	1.72	1
145655	hCG2000011.1	2.14	0.42	0
145656	hCG24719.2	8.54	0.08	0
145660	hCG2025907	21.06	0.04	0
145663	hCG2037005	2.16	0.09	0
145670	hCG1774328.3	0.73	0.34	0
145674	hCG2040576	12.46	0.06	0
145675	hCG2039811	0.27	0.55	0
145677	hCG43755.2	0.91	0.96	0
145678	hCG2043380	0.45	42.33	1
145682	hCG32671.3	22.25	0.06	0
145693	hCG40455.4	0.9	0.36	0
145696	hCG40995.3	30.73	0.05	0
145705	hCG1780572.3	1.6	1.51	1
145714	hCG33354.2	25.16	0.11	0
145718	hCG19933.3	218.72	0.02	0
145721	hCG23646.3	9.72	0.05	0
145726	R26_hCT1770925.1	0.29	7.46	1
145727	hCG1741694.2	0.63	0.59	0
145738	hCG1984788	0.75	12.73	1
145751	hCG39668.3	0.66	0.6	0
145753	hCG2033702.1	1.51	0.52	0
145754	hCG27523.2	10.22	0.05	0
145756	hCG2041001	38.21	0.02	0
145760	hCG1779456.3	0.43	1.04	1
145761	hCG26933.3	86.58	0.04	0
145763	hCG15259.4	0.38	0.41	0
145776	hCG39511.3	0.82	1.3	1
145778	hCG30332.3	27.64	0.04	0
145784	hCG2039449	0.22	2.04	1
145788	hCG15190.3	0.16	0.26	131073
145792	hCG1815771.1	0.76	1.31	1
145795	hCG2041258	0.22	0.41	1
145796	hCG2038378.1	3.44	0.12	0
145797	hCG21574.2	0.86	0.33	0
145802	hCG2042032	4.51	0.1	0
145807	hCG36769.3	0.35	1.93	1
145818	hCG2007731	145.62	0.02	0
145823	hCG40325.2	1.18	0.39	0
145829	hCG2031921	0.44	1.07	1
145831	hCG1811575.1	0.49	12.29	1
145835	hCG15176.2	0.24	1.31	1
145851	hCG19287.3	1.22	0.17	0
145856	hCG1645445.3	15.15	3.47	1
145859	hCG27775.2	2.2	0.16	0
145867	hCG1991191	2.89	0.05	0
145871	hCG16683.4	1.99	0.14	0
145872	hCG39726.3	5.24	0.05	0
145879	hCG20688.5	1.16	0.09	0
145883	hCG1818089.1	2.37	2.34	1
145891	hCG20798.2	1.05	0.14	0
145893	hCG40331.3	2.03	0.18	0
145910	hCG1998496	0.38	8.85	1
145914	hCG38343.3	25.68	0.04	0
145917	hCG1647941.3	6.05	0.06	0
145918	hCG2016952	0.47	2.58	1
145919	hCG1640914.2	0.76	3.39	1
145920	hCG1781727.1	4412.86	0.03	0
145923	hCG39310.1	0.53	2.24	1
145935	hCG15269.2	3.65	0.16	0
145937	hCG1641814.2	1.38	0.09	0
145940	hCG1981394	0.51	1.18	1
145947	hCG40135.2	25.17	0.02	0
145949	hCG26653.3	3.84	0.32	0
145956	hCG1729956.2	0.55	2.32	1
145959	hCG2021403	0.52	1.62	1
145980	hCG27577.3	0.5	2.52	1
145983	hCG23106.3	2.2	0.16	0
145984	hCG1761132.1	2.05	0.11	0
145987	hCG1784225.3	1.43	0.9	1
145989	hCG1994601	7.82	0.09	0
145990	hCG1772006.3	0.78	2.51	1
145991	hCG2023615	13.4	0.09	0
145997	hCG1812014.1	0.65	0.57	0
145998	hCG1820496.1	32.84	0.03	0
146003	hCG42582.3	3.58	0.04	0
146009	hCG2023415.2	35.89	0.03	0
146011	hCG1643176.1	1.46	0.37	0
146012	hCG37518.3	8.93	0.06	0
146015	hCG1820834.1	0.77	0.52	0
146019	hCG2039646	21.61	0.04	0
146036	hCG1786838.2	0.52	3.87	1
146037	hCG1805877.2	1.76	3.65	1
146055	hCG23377.3	9.12	0.08	0
146058	hCG24148.3	3.88	2.34	1
146065	hCG28251.3	0.66	0.41	0
146066	hCG1743460.3	5.59	0.05	0
146070	hCG1776264.1	1.72	6.54	1
146072	hCG1640593.3	0.4	1.55	1
146073	hCG15253.2	5.17	0.06	0
146076	hCG39196.2	8.09	0.03	0
146080	hCG1784151.1	0.28	3.4	1
146084	hCG1646203.3	0.19	0.7	0
146098	hCG401310.3	107.73	0.02	0
146101	hCG39146.2	11.01	0.09	0
146105	hCG2017435.1	343.64	0.04	0
146110	hCG23437.3	340.52	0.02	0
146111	hCG16082.3	0.43	1.79	1
146112	hCG1810913.2	0.77	7.64	1
146114	hCG30819.3	36.86	0.04	0
146115	hCG1735557.1	1.68	1.41	1
146122	hCG1645996.4	1.24	0.21	0
146127	hCG1791597.2	0.3	0.93	1
146128	hCG1817845.1	5.09	0.08	0
146129	hCG1815375.1	0.21	0.89	0
146130	hCG38254.3	3.35	0.2	0
146131	hCG2041950	2.98	0.11	0
146136	hCG1996673.1	0.49	1.46	1
146137	hCG29840.2	9.99	0.04	0
146168	hCG2040866	0.66	1.02	1
146180	hCG22001.3	4.81	0.08	0
146183	hCG1803610.3	0.65	2.96	1
146192	hCG1656978.3	0.43	1.02	1
146196	hCG2041497	0.13	1.21	1
146200	hCG1646666.3	0.43	1.52	1
146218	hCG1645105.3	0.74	3.73	1
146221	hCG1774456.3	0.72	0.25	0
146224	hCG1646466.1	9.54	0.04	0
146228	hCG14584.3	0.43	0.87	1
146229	hCG39383.3	143.87	0.02	0
146234	hCG1811586.1	0.53	5.11	1
146237	hCG1787723.1	2.21	0.1	0
146239	hCG1820525.2	23.66	0.02	0
146250	hCG19516.2	0.5	2.19	1
146253	hCG1755809.2	8.49	0.04	0
146257	hCG1736935.2	0.45	3.07	1
146264	hCG23232.2	3.28	0.14	0
146270	hCG18694.3	6.81	0.17	0
146273	hCG1816075.1	0.42	0.3	0
146289	hCG19318.3	23.97	0.04	0
146296	hCG2041642	0.65	0.7	0
146299	hCG37419.4	0.63	3.67	1
146302	hCG33201.2	2.09	2.26	1
146305	AK022407.1	1.69	0.37	0
146311	hCG1741135.2	33.73	0.04	0
146316	hCG2042137	1.14	3.38	1
146323	hCG1773686.1	1.26	0.43	0
146324	hCG1756726.3	0.53	0.35	0
146328	hCG1782396.1	3.46	0.12	0
146329	hCG19630.3	0.47	0.92	1
146330	hCG1989969	369.02	0.03	0
146331	hCG1770400.1	58.22	0.03	0
146332	hCG2000917.1	0.82	1.48	1
146341	hCG30294.3	2.32	0.31	0
146353	hCG1997566	5.78	0.1	0
146364	hCG2021009.1	13.65	0.04	0
146368	hCG2025554	32.29	0.03	0
146370	hCG33981.2	0.3	1.35	1
146373	hCG1988457	2	0.12	0
146376	hCG23904.3	0.76	1.61	1
146397	hCG2009772.1	12.11	0.05	0
146400	hCG21714.4	2.27	2.37	1
146401	hCG2041248	0.24	2.93	1
146406	hCG1817507.1	0.58	0.39	0
146407	hCG1980890	13.84	0.05	0
146408	hCG2041671	15.52	0.05	0
146428	hCG1812944.1	2.68	0.41	0
146430	hCG31486.3	34.56	0.04	0
146435	hCG2008627.1	1.5	0.35	0
146438	hCG1811269.1	1.88	0.21	0
146446	hCG21043.3	5.86	0.04	0
146451	hCG1642727.3	0.86	0.27	0
146465	hCG2020788	2.55	1.64	1
146467	hCG1641052.3	0.16	2.41	1
146472	hCG21433.2	46.02	0.04	0
146475	hCG1736748.2	18.87	0.18	0
146482	hCG19041.3	0.37	13.75	1
146508	hCG1997310	8.78	0.09	0
146510	hCG1811614.1	0.92	0.23	0
146511	hCG1723881.1	0.34	1.22	1
146512	hCG1812735.1	14.34	0.04	0
146514	hCG15997.3	1.07	5.23	1
146521	hCG20636.3	2.34	0.1	0
146527	hCG30592.3	23.37	0.19	0
146532	hCG22346.2	0.55	0.76	0
146533	hCG2000992	1.34	0.42	0
146543	hCG1813899.1	1.7	0.27	0
146548	hCG41099.3	0.65	1.19	1
146549	hCG1820552.2	15.2	0.04	0
146550	hCG23416.2	1.25	5.21	1
146556	hCG16175.3	9.59	0.04	0
146559	hCG18399.4	1.4	0.16	0
146560	hCG28145.4	31.81	0.05	0
146563	hCG2041722	0.49	0.6	0
146564	hCG21969.3	1.15	0.93	1
146568	hCG41006.2	2.16	0.13	0
146573	hCG1788856.2	3.85	0.63	0
146578	hCG1986010	0.71	5.34	1
146580	hCG41243.3	7.01	0.06	0
146582	hCG18368.3	2.58	0.23	0
146586	hCG20763.3	3.48	0.29	0
146592	hCG1818432.1	1.17	0.43	0
146593	hCG42007.3	25.54	0.05	0
146597	hCG15408.2	13.1	0.06	0
146598	hCG27526.2	1.18	0.29	0
146599	hCG41277.3	3.46	0.67	0
146600	hCG1639935.2	406.63	0.04	0
146625	hCG15568.2	0.66	0.59	0
146642	hCG1789217.2	147.05	0.03	0
146650	hCG17423.2	1.01	1.76	1
146651	hCG2039501	0.6	0.45	0
146652	hCG39788.3	0.22	1.33	1
146656	hCG19946.2	235.27	0.03	0
146659	hCG1796949.1	1.14	0.17	0
146661	hCG20629.3	6.09	0.12	0
146663	hCG30399.3	12.29	0.03	0
146664	hCG2041386	6.68	1.92	1
146666	hCG1991504.1	2.13	0.19	0
146684	hCG1811657.1	0.21	1.86	1
146688	hCG1812142.2	0.52	10.03	1
146689	hCG1644878.3	0.69	0.44	0
146698	hCG22786.3	22.2	0.04	0
146701	hCG28820.2	0.51	7.38	1
146706	hCG15077.2	0.84	1.37	1
146709	hCG2027425	4.08	0.12	0
146711	hCG1984172	19.21	0.12	0
146721	hCG2022580.1	20.71	0.04	0
146722	hCG22995.3	0.81	1.17	1
146727	hCG37403.2	0.13	0.59	1
146729	hCG38564.2	0.55	1.92	1
146742	hCG1794410.1	0.93	0.21	0
146745	hCG38922.2	0.94	2.48	1
146753	hCG27725.3	10.02	0.05	0
146754	hCG2026363	1.32	0.44	0
146756	hCG25681.4	3.03	0.08	0
146759	hCG40021.3	0.4	0.32	0
146761	hCG1820470.1	0.38	1.15	1
146768	hCG2004768	29.76	0.05	0
146772	hCG2009388	23.31	0.02	0
146773	hCG1647589.3	0.62	0.65	0
146786	hCG1817830.1	19.46	0.04	0
146790	hCG20363.2	0.33	1.15	1
146792	hCG2032518	1295.97	0.02	0
146795	hCG1771518.1	1.4	0.36	0
146796	hCG40716.2	4.38	0.08	0
146806	hCG36884.3	2.57	0.08	0
146810	hCG1644503.3	4.06	0.1	0
146814	hCG1749202.1	87.4	0.03	0
