Probe_ID	Gene_ID	Assay_Normalized_Signal_HB00E8F_5/25/07_12:10_PM	CV_HB00E8F_5/25/07_12:10_PM	Flags_HB00E8F_5/25/07_12:10_PM
100736	hCG39613.3	1.2	0.47	0
100747	hCG39706.3	0.35	4.09	1
100748	hCG39335.3	1.86	1.53	1
100757	hCG40698.2	21.32	0.03	0
100762	hCG401212.3	0.52	7.33	1
100765	hCG16829.3	168.09	0.04	0
100771	hCG2033271.2	5328.14	0.03	0
100777	hCG14908.2	25.59	0.03	0
100781	hCG1643344.2	10.23	0.25	0
100787	hCG2040550	2.36	3.89	1
100788	hCG1820609.2	0.66	1.35	1
100794	hCG1775175.1	0.47	3.93	1
100801	hCG1811890.1	0.49	0.5	0
100812	hCG1983949	1.81	0.12	0
100814	hCG1643287.3	1.1	2.56	1
100819	hCG19396.3	0.88	0.36	0
100825	hCG1739403.3	0.49	26.71	1
100826	hCG2004404	165.03	0.04	0
100830	hCG1641328.2	0.45	0.34	0
100837	hCG21867.3	2.09	0.17	0
100840	hCG19421.2	89.55	0.03	0
100845	hCG37756.2	50.77	0.02	0
100857	hCG26478.2	0.42	0.29	0
100869	hCG1799183.1	0.39	8.65	1
100876	hCG2040341	0.28	1.88	1
100883	hCG2041662	0.21	53.36	1
100884	hCG17740.3	0.55	0.39	0
100890	hCG1995879	1.03	0.32	0
100892	hCG2024637.2	23.2	0.04	0
100894	hCG2043516	1711.7	0.03	0
100901	hCG2043527	168	0.04	0
100912	hCG2041182	1.11	0.12	64
100914	ENST00000326308	11.33	0.04	0
100925	hCG1811231.5	1.54	0.15	0
100935	hCG29879.2	0.13	2.54	1
100939	hCG32514.4	3.36	0.09	0
100942	hCG24781.3	2.53	0.3	0
100943	hCG2020143	6.91	0.33	0
100945	hCG1744022.1	4.38	0.16	0
100949	hCG401265.3	0.12	1.24	1
100951	hCG2036633	15.74	0.04	0
100952	hCG172506.2	0.16	1.8	1
100955	hCG17419.3	101.13	0.03	0
100963	hCG38903.2	17.91	0.04	0
