C00002	C00008
C00002	C00022
C00002	C00046
C00002	C00131
C00002	C00575
C00003	C00006
C00003	C00455
C00005	C00006
C00005	C00051
C00005	C00127
C00005	C16217
C00005	C16220
C00006	C00003
C00006	C00005
C00006	C00011
C00006	C00199
C00006	C00311
C00006	C01236
C00008	C00002
C00008	C00020
C00008	C00022
C00008	C00046
C00008	C00206
C00010	C00024
C00010	C00054
C00010	C00229
C00010	C01832
C00010	C01944
C00010	C02593
C00010	C05259
C00010	C05261
C00010	C05263
C00010	C05265
C00010	C05267
C00010	C05269
C00010	C05270
C00010	C05274
C00011	C00005
C00011	C00014
C00011	C00026
C00011	C00036
C00011	C00058
C00011	C00074
C00011	C00080
C00011	C00169
C00011	C00311
C00011	C01353
C00011	C01417
C00011	C01563
C00011	C05379
C00014	C00011
C00014	C00025
C00014	C00026
C00014	C00037
C00014	C00049
C00014	C00064
C00014	C00078
C00014	C00152
C00014	C00169
C00014	C00463
C00014	C05167
C00015	C00046
C00015	C00075
C00015	C00105
C00015	C00343
C00015	C01346
C00019	C00021
C00019	C01137
C00020	C00008
C00020	C00147
C00020	C00212
C00021	C00019
C00021	C03539
C00022	C00011
C00022	C00024
C00022	C00033
C00022	C00048
C00022	C00058
C00022	C00065
C00022	C00074
C00022	C00097
C00022	C00118
C00022	C00149
C00022	C00256
C00022	C00497
C00022	C00679
C00022	C00740
C00022	C00900
C00022	C00957
C00022	C01127
C00022	C01146
C00022	C03921
C00022	C04442
C00022	C05125
C00022	C05946
C00022	C06010
C00022	C11437
C00024	C00010
C00024	C00022
C00024	C00033
C00024	C00036
C00024	C00048
C00024	C00058
C00024	C00083
C00024	C00084
C00024	C00149
C00024	C00158
C00024	C00227
C00024	C00332
C00024	C00566
C00024	C01832
C00024	C01944
C00024	C02504
C00024	C02593
C00024	C03939
C00024	C04419
C00024	C05259
C00024	C05261
C00024	C05263
C00024	C05265
C00024	C05267
C00024	C05269
C00024	C05270
C00024	C05274
C00024	C05993
C00024	C06250
C00024	C15973
C00024	C16255
C00025	C00014
C00025	C00026
C00025	C00036
C00025	C00049
C00025	C00064
C00025	C00217
C00025	C00334
C00025	C00624
C00025	C00669
C00025	C01165
C00025	C02987
C00025	C03287
C00025	C03912
C00025	C15699
C00026	C00005
C00026	C00011
C00026	C00014
C00026	C00025
C00026	C00036
C00026	C00049
C00026	C00311
C00026	C05379
C00026	C05381
C00029	C00052
C00029	C00103
C00029	C00167
C00029	C00446
C00029	C00689
C00029	C00760
C00031	C00092
C00031	C00198
C00031	C00208
C00031	C00668
C00032	C15672
C00033	C00024
C00033	C00036
C00033	C00158
C00033	C00227
C00033	C05993
C00035	C00044
C00035	C00046
C00035	C00144
C00035	C00361
C00035	C01228
C00036	C00010
C00036	C00011
C00036	C00024
C00036	C00025
C00036	C00026
C00036	C00033
C00036	C00049
C00036	C00074
C00036	C00149
C00036	C00158
C00036	C00566
C00036	C00898
C00037	C00051
C00037	C00065
C00037	C00101
C00037	C00143
C00037	C00188
C00037	C02412
C00037	C03508
C00037	C05519
C00039	C00131
C00039	C00286
C00039	C00458
C00039	C00459
C00040	C00416
C00040	C00681
C00040	C03974
C00041	C00133
C00041	C00886
C00041	C01528
C00041	C05688
C00042	C00091
C00042	C00122
C00042	C00232
C00042	C04479
C00042	C04593
C00043	C00015
C00043	C00645
C00043	C01170
C00043	C04501
C00043	C04631
C00043	C04738
C00043	C05889
C00043	C05898
C00044	C00035
C00044	C00046
C00044	C00144
C00044	C00286
C00044	C00942
C00044	C01304
C00044	C04494
C00044	C05922
C00046	C00002
C00046	C00008
C00046	C00015
C00046	C00035
C00046	C00044
C00046	C00063
C00046	C00075
C00046	C00112
C00047	C01672
C00047	C01931
C00048	C00022
C00048	C00024
C00048	C00149
C00048	C00160
C00048	C01127
C00048	C01146
C00048	C05946
C00049	C00014
C00049	C00025
C00049	C00026
C00049	C00036
C00049	C00099
C00049	C00122
C00049	C00152
C00049	C00327
C00049	C00438
C00049	C02984
C00049	C03082
C00049	C03406
C00049	C03794
C00049	C05840
C00051	C00006
C00051	C00025
C00051	C00127
C00051	C01419
C00051	C02320
C00051	C03740
C00051	C05730
C00052	C00029
C00052	C00103
C00052	C00446
C00053	C00094
C00053	C00224
C00055	C00112
C00055	C00475
C00058	C00011
C00058	C00022
C00058	C00024
C00058	C00080
C00058	C00234
C00059	C00224
C00061	C00016
C00061	C00255
C00062	C00122
C00062	C00179
C00062	C02163
C00062	C03296
C00062	C03406
C00063	C00046
C00063	C00075
C00063	C00112
C00063	C00343
C00063	C00458
C00064	C00003
C00064	C00014
C00064	C00025
C00064	C00049
C00064	C00085
C00064	C00144
C00064	C00152
C00064	C00169
C00064	C00352
C00064	C02282
C00064	C03090
C00065	C00022
C00065	C00037
C00065	C00101
C00065	C00143
C00065	C00979
C00065	C02218
